time_duration,ports,Base_RTT(ms),BW,total_data_seg_out,total_cwnd_half,total_retransmission_ss,total_retransmission_iperf,total_retransmission_ss/total_cwnd_half,total_retransmission_iperf/total_cwnd_half,C_ss,C_iperf,C_cwnd,C_router,router_dropped,router_sent,router_dropped/total_cwnd_half,mdape_ss,mdape_iperf,mdape_cwnd,mdape_router
3600,50,100,96384,30026582,11963,102759,102767,8.58973501630026,8.590403744880048,3.6786383112756944,3.6786977949221558,1.272931716315128,3.752642740923753,102782,29937288,8.591657610967149,7.0655375118686266,7.067268763501067,0.892111248205873,7.050350159594236
3600,10,200,96184,29897180,364,11936,11936,32.79120879120879,32.79120879120879,7.737953221236038,7.737953221236038,1.3772508655176532,7.908905860820958,11934,29892465,32.785714285714285,7.118433848766831,7.118433848766831,3.5178444622253986,7.253382057630195
3600,30,200,96435,29992960,3054,45258,45258,14.819253438113948,14.819253438113948,4.89627348028592,4.89627348028592,1.3026797056109745,5.041872789302097,45267,29959155,14.822200392927309,8.617618393259056,8.617618393259056,1.2972814384887348,7.241749236893924
3600,50,200,96688,30092492,8257,74401,74401,9.010657623834323,9.010657623834323,3.8123896538381836,3.8123896538381836,1.2899211307019172,3.8856657795533125,73882,30029428,8.947801865084172,6.53580478727885,6.53580478727885,1.0148322105120493,6.547528912085198
10800,100,20,963885,898799726,51794,304170,304180,5.872687956133915,5.872881028690582,3.357585112984552,3.357601479661738,1.3051665922653968,3.2426652270739713,286608,908365258,5.533613932115689,4.65187935063145,4.651414572566736,0.5653976821214705,5.275981921517425
10800,300,20,965076,901073175,376999,1655240,1655314,4.390568675248476,4.390764962241279,2.7097370516366555,2.7097905796202304,1.2729224286221903,2.6464746892108377,1585697,899717398,4.206103994970809,3.149441410154913,3.1462862386910624,0.4040003562186156,4.212672805967507
10800,500,20,967284,905379015,945968,3958915,3958952,4.185041143040779,4.185080256414594,2.54460637680836,2.544617674881725,1.2439108561414052,2.5373677113603796,3912024,901660004,4.1354718130000165,2.152997390981304,2.153006950307535,0.46735846110687906,2.6822045240166714
3600,100,100,974091,302699135,9328,97866,97866,10.49163807890223,10.49163807890223,4.233697462315174,4.233697462315174,1.3562586107902619,4.407100927813783,97844,302712163,10.489279588336192,10.26089837503608,10.26089837503608,1.7318684093998733,8.401552030031711
3600,300,100,970206,301704877,72107,443851,443855,6.155449540266548,6.155505013382889,3.1617593996328752,3.1617803344143325,1.3008494435459326,3.2332493228911203,443828,301394637,6.1551305698475876,7.235417697291016,7.235465604759324,0.8131757754362572,3.6674253698990045
3600,500,100,977022,304211683,186570,939480,939489,5.0355362598488504,5.035584499115614,2.83632155758237,2.836328098400616,1.277350990015124,2.871692429699288,939454,303435751,5.03539690196709,5.152354653554872,5.152597144551034,0.8662668291770864,3.014495660593856
3600,100,200,963160,299322692,6006,71970,71970,11.983016983016983,11.983016983016983,4.553669960798299,4.553669960798299,1.3351629000127907,4.906314443316878,71951,299312883,11.97985347985348,11.328223354541391,11.328223354541391,2.5015164541282218,20.009155635069618
3600,300,200,973255,302536044,43931,287345,287345,6.540825385263254,6.540825385263254,3.313585652436356,3.313585652436356,1.330799821541545,3.4035445739019194,287314,302365515,6.540119733218001,7.435422931397512,7.435422931397512,1.3859509564840622,5.339434848950734
3600,500,200,976472,303772290,115594,627690,627690,5.430126131114072,5.430126131114072,2.9911407075252,2.9911407075252,1.2993435360138992,3.010274939713836,607626,303290944,5.256553108292818,9.693234899931474,9.693234899931474,1.190189280541513,4.962871745831176


