port,mean_rtt,bandwidth_port,port_retrans,cwn_half_port,packet_loss,x1,cwnd_half_rate,x2,ratio
5666060005,302.840711436605,9804000,129,336,9.439024390243904e-05,3937138.9019979937,0.0002458536585365854,2439528.8215033826,0.38392857142857145
5666860005,303.18247220405493,8878000,151,358,0.00012177419354838709,3462396.721291314,0.0002887096774193548,2248659.9668158265,0.42178770949720673
5668460005,303.498560868712,10177000,157,312,0.00011056338028169014,3629913.355752199,0.00021971830985915492,2574949.9262819295,0.5032051282051282
5669260005,308.6579102329233,10165000,149,316,0.00010492957746478873,3663803.518313288,0.00022253521126760565,2515832.7615047274,0.47151898734177217
5669660005,303.4799751325175,10037000,153,330,0.00010928571428571428,3651294.067170383,0.0002357142857142857,2486197.10805778,0.4636363636363636
5670060005,303.3319806257364,9274000,134,325,0.00010360824742268041,3751830.280739269,0.00025128865979381443,2409094.87058666,0.4123076923076923
5670860005,303.2131587561375,9659000,172,350,0.00012772277227722772,3380464.159806782,0.0002599009900990099,2369771.854568624,0.49142857142857144
5671060005,302.9780971712939,10393000,156,334,0.0001073394495412844,3690350.644007035,0.0002298165137614679,2522067.4608907397,0.46706586826347307
5671460005,302.7941580981073,9292000,142,334,0.00010923076923076923,3660484.4045306225,0.0002569230769230769,2386764.1153685567,0.4251497005988024
5672460005,303.00740206995937,11220000,132,300,8.425531914893617e-05,4164919.8380688643,0.00019148936170212765,2762695.276956439,0.44
3618460006,303.108864900229,10072000,124,299,8.815165876777253e-05,4070471.011634844,0.00021255924170616116,2621319.236793165,0.41471571906354515
3618860006,303.31775945556865,9501000,129,329,9.723618090452262e-05,3872993.4552382343,0.00024798994974874373,2425178.275812792,0.39209726443769
3619260006,302.9862560947675,9554000,114,315,8.55e-05,4134781.4839297286,0.00023625,2487423.377052435,0.3619047619047619
3620460006,302.8199849441953,9419000,184,346,0.0001401015228426396,3231860.356769382,0.0002634517766497462,2356803.9071762958,0.5317919075144508
3621260006,302.78479065047304,9670000,130,305,9.605911330049263e-05,3903509.1889200374,0.00022536945812807885,2548454.960049846,0.4262295081967213
3622660006,302.9046527618611,10561000,114,300,7.737556561085973e-05,4347611.072471501,0.00020361990950226245,2680047.457460629,0.38
3622860006,302.9267398067791,10608000,112,280,7.567567567567567e-05,4395849.188422857,0.0001891891891891892,2780179.1372037805,0.4
3624460006,302.81437929905013,10707000,107,292,7.165178571428572e-05,4519272.673982613,0.00019553571428571428,2735703.3909892333,0.3664383561643836
3625460006,302.85994627178616,11107000,114,302,7.339055793991416e-05,4464744.523174062,0.0001944206008583691,2743124.8054760597,0.37748344370860926
3625660006,302.9399043187627,8336000,159,394,0.00013628571428571428,3275494.673984309,0.0003377142857142857,2080785.6726618686,0.4035532994923858
5171660007,302.70753574817576,11222000,117,267,7.468085106382979e-05,4428235.272894107,0.00017042553191489362,2931352.101361714,0.43820224719101125
5172660007,302.40031417724833,9302000,160,344,0.00012307692307692307,3452931.761050833,0.0002646153846153846,2354879.9156144815,0.46511627906976744
5172860007,302.83486628915585,9315000,131,341,0.00010076923076923077,3810559.101064823,0.00026230769230769233,2361821.9809795045,0.3841642228739003
5173260007,302.5655590112948,11389000,101,253,6.338912133891213e-05,4808744.383595853,0.00015878661087866109,3038310.2473225314,0.39920948616600793
5173860007,302.38608382449246,10330000,118,295,8.194444444444445e-05,4231915.5321672615,0.00020486111111111112,2676498.3894184222,0.4
5175060007,302.38146389389226,11295000,141,264,8.924050632911392e-05,4055294.2398893107,0.0001670886075949367,2963670.816755443,0.5340909090909091
5176060007,302.5168358991156,9707000,130,305,9.605911330049263e-05,3906966.7281708024,0.00022536945812807885,2550712.2579391887,0.4262295081967213
5176260007,302.3504783121478,10713000,115,272,7.700892857142858e-05,4365935.831168684,0.00018214285714285714,2838845.8867016733,0.4227941176470588
5176660007,302.63511255283595,11004000,131,278,8.506493506493507e-05,4150151.461897387,0.0001805194805194805,2848899.9439050565,0.4712230215827338
5176860007,302.3785927309671,11016000,117,278,7.597402597402598e-05,4395162.5025750175,0.0001805194805194805,2851316.7793679526,0.420863309352518
4394660008,301.965846637006,11692000,153,302,9.36734693877551e-05,3963623.7363956785,0.00018489795918367346,2821205.127357097,0.5066225165562914
4394860008,301.61018224650724,10468000,144,321,9.863013698630137e-05,3867298.829114724,0.00021986301369863014,2590218.8613483394,0.4485981308411215
4395460008,301.8389292492964,8872000,140,368,0.00011290322580645161,3611853.461735568,0.0002967741935483871,2227769.3806195473,0.3804347826086957
4396860008,301.7472833202409,9827000,162,320,0.00011796116504854368,3534643.789464001,0.00023300970873786408,2514943.1457168553,0.50625
4397660008,301.6181294398795,11400000,116,312,7.280334728033473e-05,4501170.179172066,0.00019581589958158995,2744587.8128581243,0.3717948717948718
4398860008,302.2017549603824,9367000,141,330,0.00010790816326530613,3690068.4016035316,0.0002525510204081633,2412053.870196148,0.42727272727272725
4399660008,301.7051118315486,10363000,132,287,9.12442396313364e-05,4019510.3575465963,0.00019838709677419354,2725958.0573948706,0.45993031358885017
4400260008,301.804919589925,10596000,146,341,9.864864864864865e-05,3864440.846804532,0.0002304054054054054,2528633.587483068,0.4281524926686217
4401860008,301.4868636572102,10672000,133,295,8.90625e-05,4071390.0799835455,0.00019754464285714286,2733742.0094452268,0.45084745762711864
4403460008,301.60931817437177,9460000,147,317,0.00011136363636363636,3639503.0881131957,0.00024015151515151514,2478398.4481388624,0.4637223974763407
4618260009,300.5966466204733,9734000,142,327,0.00010441176470588236,3771374.8401393197,0.00024044117647058823,2485249.501221804,0.43425076452599387
4619660009,300.7098493020823,10404000,138,318,9.495412844036697e-05,3953247.181074305,0.0002188073394495413,2604233.691356683,0.4339622641509434
4620860009,300.61441883276115,10666000,158,301,0.00010580357142857143,3746265.713049141,0.0002015625,2714212.6684349226,0.5249169435215947
3853460009,300.72716570195234,10952000,108,284,7.074235807860263e-05,4579795.874908204,0.00018602620087336246,2824221.984121624,0.38028169014084506
3854860009,300.33372583652243,11628000,94,267,5.778688524590164e-05,5073875.4453859655,0.00016413934426229507,3010565.621397252,0.352059925093633
3856460009,300.4792096051297,9723000,114,332,8.382352941176471e-05,4210766.403557218,0.00024411764705882354,2467428.251423992,0.3433734939759036
3856860009,300.39761795694,10509000,122,313,8.318181818181818e-05,4228125.404725185,0.0002134090909090909,2639706.28475892,0.38977635782747605
3858260009,300.6181437360911,10328000,130,310,9.027777777777777e-05,4055579.601172106,0.00021527777777777778,2626296.5260116267,0.41935483870967744
3859660009,300.2581342062193,10148000,112,317,7.887323943661972e-05,4344091.138576678,0.00022323943661971832,2582131.218073073,0.35331230283911674
3859860009,300.38998199377966,11499000,152,295,9.460580912863071e-05,3964735.338611466,0.00018360995850622407,2845935.0722108036,0.5152542372881356
4513460010,298.68869956913437,10847000,179,336,0.0001182819383259912,3565993.4438867248,0.00022202643171806167,2602779.7378875692,0.5327380952380952
4513860010,298.8534491201724,11255000,176,320,0.00011186440677966102,3664834.0551953767,0.00020338983050847457,2717913.6775596617,0.55
4514860010,298.6455952458695,10894000,152,325,0.0001,3878845.0874231383,0.00021381578947368422,2652665.8638830865,0.4676923076923077
4515260010,298.8647615937296,9886000,148,380,0.00010724637681159421,3742764.6838520025,0.0002753623188405797,2335778.100292383,0.3894736842105263
4516260010,298.9901682181937,11033000,154,348,0.0001,3874374.889660706,0.00022597402597402598,2577343.951031416,0.4425287356321839
4517460010,304.46628552760535,11645000,115,311,7.069672131147541e-05,4525011.668332543,0.00019118852459016394,2751619.820418179,0.36977491961414793
4518660010,298.5553195660698,10049000,141,342,0.00010023696682464456,3875428.9299706994,0.00024312796208530809,2488377.5828116885,0.41228070175438597
4519460010,298.6612307591751,11360000,163,321,0.00010273109243697478,3826738.142687992,0.0002023109243697479,2726905.14411805,0.5077881619937694
4520060010,298.79733926061516,11010000,161,327,0.00010454545454545455,3791658.7637359183,0.00021233766233766233,2660530.8988715755,0.4923547400611621
4520660010,298.3720413233948,11575000,128,313,7.901234567901235e-05,4367701.458286127,0.00019320987654320988,2793095.350099236,0.40894568690095845
4244660001,301.955363158604,9169000,217,367,0.00016953125,2946394.6621066215,0.00028671875,2265623.5684945,0.5912806539509536
4245860001,301.74685847117877,9082000,221,356,0.0001744736842105263,2906369.4890117254,0.00028105263157894735,2289928.7174712797,0.6207865168539326
4247460001,301.8231588167913,8639000,221,387,0.00018314917127071822,2835982.260165596,0.0003207182320441989,2143108.526779778,0.5710594315245479
4249060001,301.83288972743503,9956000,160,351,0.00011483253588516747,3581455.087988708,0.00025191387559808615,2418053.7060321746,0.45584045584045585
4249460001,301.97658355795147,9367000,171,376,0.0001308673469387755,3353278.561965577,0.00028775510204081633,2261381.136605145,0.45478723404255317
